,MedianICC,MedianICCLower,MedianICCHigher
wavelet-LLL_firstorder_Energy,0.994782882,0.993907378,0.995590188
wavelet-LLL_firstorder_Entropy,0.928383652,0.917276518,0.938844624
wavelet-LLL_firstorder_InterquartileRange,0.954642425,0.947381137,0.961424306
wavelet-LLL_firstorder_Kurtosis,0.87233866,0.853882903,0.890033808
wavelet-LLL_firstorder_Maximum,0.804186415,0.778333911,0.829517173
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.946655953,0.93819744,0.954576146
wavelet-LLL_firstorder_Mean,0.938315,0.928631857,0.947406013
wavelet-LLL_firstorder_Median,0.963041473,0.957065369,0.968608101
wavelet-LLL_firstorder_Minimum,0.72108697,0.688426148,0.7539464
wavelet-LLL_firstorder_Range,0.833665244,0.810807993,0.85585201
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.950418693,0.942521229,0.957804681
wavelet-LLL_firstorder_RootMeanSquared,0.939908254,0.930457007,0.948777047
wavelet-LLL_firstorder_Skewness,0.873838755,0.855564641,0.891351378
wavelet-LLL_firstorder_TotalEnergy,0.994782882,0.993907378,0.995590188
wavelet-LLL_firstorder_Uniformity,0.888155946,0.871656848,0.903895594
wavelet-LLL_firstorder_Variance,0.94224425,0.933134735,0.950786011
original_glcm_Autocorrelation_20_binCount,0.762413416,0.732840155,0.791777703
original_glcm_JointAverage_20_binCount,0.760378082,0.730639036,0.789926119
original_glcm_ClusterProminence_20_binCount,0.727750159,0.695547728,0.760079772
original_glcm_ClusterShade_20_binCount,0.75472541,0.724533431,0.784777491
original_glcm_ClusterTendency_20_binCount,0.878798236,0.861130499,0.895703031
original_glcm_Contrast_20_binCount,0.827169911,0.803626149,0.850070355
original_glcm_Correlation_20_binCount,0.891739527,0.875696473,0.907026666
original_glcm_DifferenceAverage_20_binCount,0.904958714,0.890638843,0.918546534
original_glcm_DifferenceEntropy_20_binCount,0.925990919,0.914546236,0.936778022
original_glcm_DifferenceVariance_20_binCount,0.826158395,0.802509077,0.849168918
original_glcm_JointEnergy_20_binCount,0.893301771,0.877459004,0.90839055
original_glcm_JointEntropy_20_binCount,0.934203549,0.923926398,0.943864892
original_glcm_Imc1_20_binCount,0.841886377,0.81991968,0.863152976
original_glcm_Imc2_20_binCount,0.867606462,0.848583064,0.885873362
original_glcm_Idm_20_binCount,0.9129908,0.899749524,0.925523061
original_glcm_Idmn_20_binCount,0.852221331,0.83140861,0.87230454
original_glcm_Id_20_binCount,0.908393877,0.894532371,0.921532381
original_glcm_Idn_20_binCount,0.912111663,0.898751164,0.924760304
